evc,evh,percent
46,21,0.004356897
45,21,0.003635044
44,21,0.003042094
43,21,0.002741322
42,21,0.002586639
41,21,0.002225713
40,21,0.001632762
39,21,0.001572608
38,21,0.00133199
37,21,0.00133199
36,21,0.001005438
35,21,0.000867942
34,21,0.00093669
33,21,0.000635918
32,21,0.000575764
31,21,0.000618731
30,21,0.000618731
29,21,0.000446861
28,21,0.000300772
27,21,0.000249211
26,21,0.000266398
25,21,0.00019765
24,21,0.000154683
23,21,7.73414E-05
22,21,0.000103122
21,21,9.45283E-05
20,21,6.87479E-05
19,21,5.15609E-05
18,21,7.73414E-05
17,21,3.43739E-05
16,21,3.43739E-05
15,21,1.7187E-05
14,21,8.59349E-06
12,21,8.59349E-06
87,20,1.039003939
86,20,0.334303767
85,20,0.400318921
84,20,0.459261637
83,20,0.520610529
82,20,0.578822799
81,20,0.623818288
80,20,0.664886555
79,20,0.691612294
78,20,0.703187719
77,20,0.708532867
76,20,0.693219276
75,20,0.665995114
74,20,0.625468238
73,20,0.571750361
72,20,0.518384817
71,20,0.466033304
70,20,0.406875751
69,20,0.354352368
68,20,0.308222539
67,20,0.259763875
66,20,0.222957977
65,20,0.192485478
64,20,0.165897235
63,20,0.141783915
62,20,0.123239173
61,20,0.105261602
60,20,0.093050259
59,20,0.080959225
58,20,0.071239994
57,20,0.06220824
56,20,0.054697534
55,20,0.049446915
54,20,0.042898679
53,20,0.038309758
52,20,0.033720837
51,20,0.029733459
50,20,0.026115602
49,20,0.02260946
48,20,0.020100162
47,20,0.017453369
46,20,0.015210469
45,20,0.014351121
44,20,0.012494928
43,20,0.011154344
42,20,0.01001141
41,20,0.008550518
40,20,0.007656795
39,20,0.006917756
38,20,0.006204496
37,20,0.005396709
36,20,0.004640482
35,20,0.003927223
34,20,0.00357489
33,20,0.003016313
32,20,0.002930379
31,20,0.002552265
30,20,0.0022429
29,20,0.00187338
28,20,0.001538234
27,20,0.001349177
26,20,0.001065592
25,20,0.001151527
24,20,0.000824975
23,20,0.000696072
22,20,0.00059295
21,20,0.000446861
20,20,0.000317959
19,20,0.000249211
18,20,0.000232024
17,20,0.000146089
16,20,7.73414E-05
15,20,6.87479E-05
14,20,2.57805E-05
13,20,4.29674E-05
12,20,3.43739E-05
11,20,8.59349E-06
10,20,1.7187E-05
87,19,0.746421544
86,19,0.273358769
85,19,0.334888124
84,19,0.403395389
83,19,0.469075398
82,19,0.536517071
81,19,0.602111144
80,19,0.654204853
79,19,0.702405712
78,19,0.743422417
77,19,0.767389648
76,19,0.785057854
75,19,0.77977286
74,19,0.768154468
73,19,0.741944338
72,19,0.713869421
71,19,0.652236944
70,19,0.606914903
69,19,0.551469735
68,19,0.495861292
67,19,0.44205748
66,19,0.39232698
65,19,0.34937674
64,19,0.30940844
63,19,0.273427517
62,19,0.241055857
61,19,0.213771542
60,19,0.191531601
59,19,0.170357254
58,19,0.152981226
57,19,0.136189556
56,19,0.121494696
55,19,0.108131826
54,19,0.09928913
53,19,0.088598834
52,19,0.080117064
51,19,0.071463424
50,19,0.065250334
49,19,0.059226301
48,19,0.052317139
47,19,0.048261014
46,19,0.042898679
45,19,0.039040204
44,19,0.034700494
43,19,0.029802207
42,19,0.028117884
41,19,0.024611742
40,19,0.022102444
39,19,0.01940409
38,19,0.017393214
37,19,0.016104192
36,19,0.014531584
35,19,0.01148949
34,19,0.010802011
33,19,0.009693451
32,19,0.007863039
31,19,0.006909162
30,19,0.006333399
29,19,0.005534205
28,19,0.004545954
27,19,0.003626451
26,19,0.003729573
25,19,0.002586639
24,19,0.00226868
23,19,0.002019469
22,19,0.001495266
21,19,0.001022625
20,19,0.00093669
19,19,0.000635918
18,19,0.000635918
17,19,0.000386707
16,19,0.000352333
15,19,0.000257805
14,19,0.000154683
13,19,0.000111715
12,19,0.000120309
11,19,3.43739E-05
10,19,2.57805E-05
